vendor_name,service_month,consultant_count,hours_billed,amount_billed,amount_paid,accrual_amount,exception_count,accrual_pct
Pontoon Solutions Inc.,2018-08-31,31,748,52131.71,0,52131.71,23,100
Pontoon Solutions Inc.,2019-06-15,24,767,51429.62,0,51429.62,22,100
"iTech US, Inc",2016-09-30,26,856,51228.72,0,51228.72,26,100
Pontoon Solutions Inc.,2021-03-06,21,700,50845.15,0,50845.15,19,100
Pontoon Solutions Inc.,2019-05-18,18,672,50826.72,0,50826.72,18,100
Resource Research Company (RSC Solutions)),2015-08-31,43,1452,50820,0,50820,43,100
"iTech US, Inc.",2016-05-31,29,800,50800,0,50800,27,100
"iTech US, Inc",2018-03-31,28,992,50628.8,0,50628.8,28,100
"iTech US, Inc",2022-10-31,30,820,50608,0,50608,25,100
Pontoon Solutions Inc.,2019-03-09,29,704,50497.44,0,50497.44,29,100
Resource Research Company (RSC Solutions)),2015-05-31,45,1440,50400,0,50400,45,100
"iTech US, Inc",2023-08-31,24,816,49359.52,0,49359.52,23,100
Resource Research Company (RSC Solutions)),2015-10-31,50,1408,49280,0,49280,45,100
"iTech US, Inc.",2015-06-30,28,872,48840,0,48840,28,100
Pontoon Solutions Inc.,2020-12-05,25,671,48547.14,0,48547.14,25,100
Infosys Limited,2019-04-30,3,332.09,48488.71,0,48488.71,2,100
Resource Research Company (RSC Solutions)),2014-12-31,50,1336,48440,0,48440,44,100
"iTech US, Inc",2021-06-30,26,864,48270.4,0,48270.4,25,100
Infosys Limited,2018-11-30,3,345,48118.08,0,48118.08,2,100
Pontoon Solutions Inc.,2019-04-06,16,640,47628,0,47628,16,100
"iTech US, Inc",2023-05-31,29,784,47624,0,47624,23,100
TCC Software Solutions,2024-11-02,20,737,47353,0,47353,20,100
Resource Research Company (RSC Solutions)),2015-09-30,41,1342,46970,0,46970,41,100
"iTech US, Inc.",2016-11-30,26,770,46870,0,46870,25,100
"iTech US, Inc",2023-01-31,30,768,46720,0,46720,24,100
"iTech US, Inc",2017-03-31,39,808,46478.88,0,46478.88,31,100
Resource Research Company (RSC Solutions)),2015-01-31,40,1280,46400,0,46400,40,100
Pontoon Solutions Inc.,2019-07-13,19,704,45693.09,0,45693.09,19,100
Resource Research Company (RSC Solutions)),2015-02-28,37,1280,45600,0,45600,34,100
"iTech US, Inc",2016-07-31,24,768,45588.88,0,45588.88,24,100
Pontoon Solutions Inc.,2019-06-30,64,424,45413.72,0,45413.72,20,100
"iTech US, Inc.",2016-01-31,23,680,45048,0,45048,18,100
TCC Software Solutions,2024-07-31,20,696,44736,0,44736,20,100
Infosys Limited,2019-05-31,5,480,44713.07,0,44713.07,4,100
TCC Software Solutions,2025-02-01,40,690.5,44366.5,0,44366.5,30,100
"iTech US, Inc",2016-10-31,27,732,44334.96,0,44334.96,23,100
"SPAR Solutions, LLC",2023-06-30,30,492,44280,0,44280,20,100
"iTech US, Inc",2022-03-31,22,784,44128,0,44128,22,100
TCC Software Solutions,2024-08-31,20,686,44068,0,44068,20,100
"iTech US, Inc.",2016-12-31,24,712,44000,0,44000,23,100
"SPAR Solutions, LLC",2023-09-09,10,488,43920,0,43920,10,100
IDC Technologies,2014-09-30,29,880,43808,0,43808,28,100
"iTech US, Inc",2024-01-31,25,728,43374,0,43374,23,100
Inter-American Development Bank,2024-11-02,15,454,43130,0,43130,15,100
Resource Research Company (RSC Solutions)),2016-02-29,41,1224,42840,0,42840,39,100
IDC Technologies,2014-10-31,27,860,42740,0,42740,27,100
Resource Research Company (RSC Solutions)),2016-06-30,35,1216,42736,0,42736,35,100
IDC Technologies,2018-07-31,30,720,42420,0,42420,24,100
"Agreeya Solutions, Inc.",2022-08-31,15,552,41952,0,41952,15,100
IDC Technologies,2018-10-31,31,663,41918,0,41918,24,100
"SPAR Solutions, LLC",2023-05-31,10,464,41760,0,41760,10,100
Pontoon Solutions Inc.,2019-07-31,32,543,41755.43,0,41755.43,22,100
"iTech US, Inc.",2017-01-31,24,680,41752.8,0,41752.8,21,100
"SPAR Solutions, LLC",2023-05-13,8,462,41580,0,41580,8,100
"iTech US, Inc",2020-12-31,36,816,41448,0,41448,30,100
TCC Software Solutions,2024-12-31,20,644.5,41412.5,0,41412.5,20,100
IDC Technologies,2018-03-31,24,689,41271,0,41271,18,100
TCC Software Solutions,2025-02-28,16,642,41247,0,41247,16,100
TCC Software Solutions,2024-09-30,20,640,41120,0,41120,20,100
"SPAR Solutions, LLC",2023-03-31,30,454,40860,0,40860,19,100
Resource Research Company (RSC Solutions)),2015-12-31,40,1164,40740,0,40740,34,100
IDC Technologies,2016-09-30,25,824,40417.05,0,40417.05,24,100
Resource Research Company (RSC Solutions)),2016-03-31,32,1152,40392,0,40392,32,100
"SPAR Solutions, LLC",2023-07-31,10,448,40320,0,40320,10,100
IDC Technologies,2018-05-31,20,704,40304,0,40304,20,100
Pyramid Consulting Inc.,2022-09-30,15,518,40250.56,0,40250.56,15,100
RSC Solutions (Resource Search Company),2017-10-31,30,1040,40152,0,40152,30,100
IDC Technologies,2014-08-31,27,820,40096,0,40096,26,100
Resource Research Company (RSC Solutions)),2016-05-31,34,1128,39648,0,39648,33,100
"Agreeya Solutions, Inc.",2022-11-30,17,512,39456,0,39456,17,100
Infosys Limited,2017-12-31,5,284.632,39426.51,0,39426.51,2,100
Infosys Limited,2024-04-30,3,168,39275,0,39275,1,100
Copper Mobile,2018-05-05,28,656,39224,0,39224,27,100
IDC Technologies,2016-11-30,27,792,39197.6,0,39197.6,24,100
IDC Technologies,2018-09-30,20,592,39164,0,39164,16,100
Pontoon Solutions Inc.,2019-09-30,16,512,38999.3,0,38999.3,16,100
"Digital Intelligence Systems, LLC (DISYS)",2017-05-31,20,563,38986,0,38986,20,100
"iTech US, Inc",2017-04-30,20,638,38924.02,0,38924.02,16,100
IDC Technologies,2016-08-31,25,792,38910.58,0,38910.58,23,100
Infosys Limited,2022-03-31,3,196,38808.28,0,38808.28,1,100
Patriot Consulting Inc.,2016-03-19,19,360,38800,0,38800,10,100
"iTech US, Inc",2018-01-31,23,776,38700.8,0,38700.8,23,100
Resource Research Company (RSC Solutions)),2016-08-31,30,1104,38640,0,38640,30,100
Resource Research Company (RSC Solutions)),2016-11-30,35,1102,38570,0,38570,35,100
Pontoon Solutions Inc.,2019-05-25,13,520,38533.6,0,38533.6,13,100
TCC Software Solutions,2024-11-30,30,599,38506,0,38506,25,100
Pontoon Solutions Inc.,2019-05-04,22,496,38486.56,0,38486.56,22,100
LVN Consulting Corp,2018-03-31,17,522,38458,0,38458,17,100
"Luxoft USA, Inc.",2022-07-31,25,488,38400,0,38400,20,100
"Agreeya Solutions, Inc.",2022-10-31,15,504,38304,0,38304,15,100
Resource Research Company (RSC Solutions)),2016-10-31,35,1092,38300,0,38300,33,100
Infosys Limited,2019-08-31,5,261.75,38167.23,0,38167.23,2,100
"iTech US, Inc.",2016-10-31,24,640,38000,0,38000,21,100
Sigma Resources LLC,2014-02-15,32,350,37944,0,37944,17,100
Kforce Inc,2024-07-31,12,474,37708,0,37708,12,100
Copper Mobile,2018-03-31,23,627,37683,0,37683,23,100
Pontoon Solutions Inc.,2018-05-12,15,504,37632,0,37632,15,100
IDC Technologies,2016-10-31,38,755,37590.62,0,37590.62,34,100
"Agreeya Solutions, Inc.",2022-09-30,15,496,37560,0,37560,15,100
Infosys Limited,2023-04-30,4,156,37530.46,0,37530.46,1,100
Resource Research Company (RSC Solutions)),2016-01-31,39,1072,37520,0,37520,30,100
Resource Research Company (RSC Solutions)),2015-11-30,46,1072,37520,0,37520,37,100
"iTech US, Inc",2017-05-31,20,704,37428.16,0,37428.16,20,100
"iTech US, Inc",2017-06-30,20,704,37428.16,0,37428.16,20,100
"iTech US, Inc",2022-02-28,20,608,37392,0,37392,20,100
Pontoon Solutions Inc.,2019-05-11,15,512,37334.08,0,37334.08,15,100
"Noah Consulting, LLC",2017-03-31,10,243.56,37282.72,0,37282.72,5,100
"Luxoft USA, Inc.",2022-08-31,23,472,37280,0,37280,18,100
AMA Global Technology Inc.,2025-04-30,18,616,37160,0,37160,18,100
"iTech US, Inc",2017-11-30,20,656,37078.08,0,37078.08,20,100
"iTech US, Inc.",2016-07-31,27,540,37000,0,37000,22,100
RSC Solutions (Resource Search Company),2017-11-30,30,952,36840,0,36840,30,100
McInnis Consulting Services Inc,2017-09-16,17,415.5,36800.87,0,36800.87,17,100
Resource Research Company (RSC Solutions)),2014-11-30,29,1016,36600,0,36600,29,100
LVN Consulting Corp,2018-01-31,15,496,36560,0,36560,15,100
Infosys Limited,2023-08-31,2,188,36532.51,0,36532.51,1,100
TCC Software Solutions,2024-06-30,30,562,36284,0,36284,21,100
"Agreeya Solutions, Inc.",2023-01-31,15,472,36264,0,36264,14,100
TCC Software Solutions,2014-10-31,25,776.5,36168,0,36168,25,100
Infosys Limited,2022-08-31,2,188,36143.4,0,36143.4,1,100
"Agreeya Solutions, Inc.",2022-12-31,17,472,35856,0,35856,16,100
Resource Research Company (RSC Solutions)),2016-12-31,31,1024,35840,0,35840,31,100
Infosys Limited,2024-01-31,2,184,35816.13,0,35816.13,1,100
IDC Technologies,2018-06-30,34,529,35761.75,0,35761.75,31,100
Resource Research Company (RSC Solutions)),2016-09-30,35,1017,35715,0,35715,32,100
Resource Research Company (RSC Solutions)),2016-04-30,35,1008,35448,0,35448,31,100
Infosys Limited,2019-07-31,2,181,35331.8,0,35331.8,1,100
"iTech US, Inc",2022-04-02,16,488,35328.96,0,35328.96,15,100
"Diverse Lynx, LLC",2024-07-31,21,617,35306.99,0,35306.99,15,100
"SPAR Solutions, LLC",2022-03-12,10,392,35280,0,35280,10,100
"SPAR Solutions, LLC",2022-07-31,10,392,35280,0,35280,10,100
EdgeRock,2015-09-30,13,370,35212.08,0,35212.08,11,100
"iTech US, Inc",2016-11-30,24,608,35211.92,0,35211.92,19,100
Pontoon Solutions Inc.,2019-08-03,19,494,35154.52,0,35154.52,17,100
BCforward,2019-09-14,20,680,35006.4,0,35006.4,19,100
ASCII Group LLC,2020-07-31,29,840,34947.68,0,34947.68,29,100
"iTech US, Inc",2017-10-31,18,624,34940.8,0,34940.8,18,100
Sigma Resources LLC,2014-01-11,48,286,34832,0,34832,18,100
TCC Software Solutions,2025-04-05,20,546.5,34628.5,0,34628.5,16,100
Infosys Limited,2019-10-31,2,174.25,34594.02,0,34594.02,1,100
Pontoon Solutions Inc.,2019-08-10,13,448,34550.26,0,34550.26,13,100
"SPAR Solutions, LLC",2023-01-31,10,382,34380,0,34380,10,100
RSC Solutions (Resource Search Company),2018-03-31,27,927,34370,0,34370,27,100
"Digital Intelligence Systems, LLC (DISYS)",2016-11-30,18,478,34305,0,34305,17,100
CompuGain LLC,2015-08-31,18,382,34218,0,34218,15,100
LVN Consulting Corp,2016-07-31,15,496,34048,0,34048,15,100
Infosys Limited,2022-06-30,2,180,34042.68,0,34042.68,1,100
Inter-American Development Bank,2019-10-31,13,384,34020,0,34020,13,100
IDC Technologies,2019-03-02,21,616,33984,0,33984,20,100
IDC Technologies,2014-12-31,20,704,33976,0,33976,20,100
"iTech US, Inc",2019-01-05,26,648,33922.88,0,33922.88,20,100
TCC Software Solutions,2024-05-31,15,521.5,33918.5,0,33918.5,15,100
BCforward,2016-10-31,33,848,33859.32,0,33859.32,29,100
Infosys Limited,2024-02-29,2,172,33814.22,0,33814.22,1,100
Access Data Consulting Corporation,2015-12-31,19,294,33810,0,33810,14,100
Blue Acorn iCi,2023-07-08,14,504,33768,0,33768,14,100
"SPAR Solutions, LLC",2022-12-31,10,375,33750,0,33750,10,100
LVN Consulting Corp,2015-12-31,25,490,33656,0,33656,20,100
RSC Solutions (Resource Search Company),2018-03-03,30,904,33592,0,33592,30,100
"Agreeya Solutions, Inc.",2022-07-31,13,440,33480,0,33480,13,100
Nityo Inc.,2018-10-31,39,752,33434.64,0,33434.64,23,100
TCC Software Solutions,2014-07-31,23,718,33408,0,33408,23,100
BCforward,2016-09-30,29,841,33404,0,33404,26,100
Infosys Limited,2020-01-31,2,176.66,33389.29,0,33389.29,1,100
TCC Software Solutions,2014-08-31,26,725,33302.05,0,33302.05,25,100
"SPAR Solutions, LLC",2022-04-09,10,370,33300,0,33300,10,100
Infosys Limited,2024-06-30,2,156,33273.78,0,33273.78,1,100
TCC Software Solutions,2025-04-30,15,528,33264,0,33264,15,100
Infosys Limited,2023-10-31,2,180,33153.63,0,33153.63,1,100
Infosys Limited,2021-08-31,2,179.42,32950.03,0,32950.03,1,100
"SPAR Solutions, LLC",2022-12-03,10,366,32940,0,32940,10,100
BCforward,2017-01-31,27,811,32852.8,0,32852.8,27,100
Infosys Limited,2021-10-31,3,161,32825.53,0,32825.53,1,100
Diversant LLC,2014-01-25,23,41,32800,0,32800,6,100
TCC Software Solutions,2014-09-30,23,703.5,32760,0,32760,23,100
Infosys Limited,2022-09-30,2,180,32759.75,0,32759.75,1,100
Infosys Limited,2023-05-31,2,160,32749.36,0,32749.36,1,100
Infosys Limited,2022-04-30,2,164,32741.48,0,32741.48,1,100
Inter-American Development Bank,2018-07-31,13,369,32706,0,32706,13,100
Inter-American Development Bank,2018-08-31,11,368,32568,0,32568,11,100
Sysmind,2022-08-31,15,552,32568,0,32568,15,100
Nityo Inc.,2018-12-22,10,360,32540.4,0,32540.4,10,100
BCforward,2016-08-31,23,785,32529.76,0,32529.76,23,100
Infosys Limited,2020-03-31,2,179,32448.97,0,32448.97,1,100
Infosys Limited,2023-09-30,2,164,32411,0,32411,1,100
RSC Solutions (Resource Search Company),2018-01-31,27,872,32392,0,32392,26,100
"SPAR Solutions, LLC",2022-05-07,10,358,32220,0,32220,10,100
Inter-American Development Bank,2021-04-03,10,356,32175.84,0,32175.84,10,100
Infosys Limited,2022-05-31,2,180,32116.27,0,32116.27,1,100
TCC Software Solutions,2025-05-31,25,505,32033,0,32033,20,100
Infosys Limited,2023-03-31,1,184,32016,0,32016,1,100
IDC Technologies,2014-07-31,21,740,31988,0,31988,21,100
Resource Research Company (RSC Solutions)),2017-08-31,25,912,31920,0,31920,25,100
Resource Research Company (RSC Solutions)),2017-03-31,25,912,31920,0,31920,25,100
Infosys Limited,2024-05-31,2,152,31880.94,0,31880.94,1,100
"SPAR Solutions, LLC",2023-02-28,10,354,31860,0,31860,10,100
TCC Software Solutions,2015-01-31,23,680,31704,0,31704,21,100
Infosys Limited,2023-07-31,2,160,31696.11,0,31696.11,1,100
Inter-American Development Bank,2017-03-31,11,372,31620,0,31620,11,100
Infosys Limited,2021-06-30,2,179,31614.75,0,31614.75,1,100
M3bi LLC,2022-04-30,16,506,31606,0,31606,16,100
"SK Net, LLC. (""SK Net"")",2017-02-28,17,351,31590,0,31590,17,100
Copper Mobile,2018-05-31,21,526,31566,0,31566,20,100
Inter-American Development Bank,2021-09-04,10,348,31479.84,0,31479.84,10,100
"iTech US, Inc",2019-03-31,19,524,31476,0,31476,19,100
BCforward,2017-02-28,26,779,31466.8,0,31466.8,25,100
TCC Software Solutions,2014-06-30,21,676,31440,0,31440,21,100
"Noah Consulting, LLC",2016-08-31,10,199.51,31423.88,0,31423.88,5,100
"SPAR Solutions, LLC",2022-06-30,10,349,31410,0,31410,10,100
"Digital Intelligence Systems, LLC (DISYS)",2016-12-31,15,436,31395,0,31395,15,100
Infosys Limited,2023-12-31,3,140,31312.42,0,31312.42,1,100
BCforward,2017-03-31,20,736,31222.96,0,31222.96,20,100
Inter-American Development Bank,2019-08-31,12,352,31176,0,31176,12,100
Infosys Limited,2019-09-30,2,168.25,31169.05,0,31169.05,1,100
Inter-American Development Bank,2020-07-31,10,348,31156,0,31156,10,100
"SPAR Solutions, LLC",2022-05-31,10,346,31140,0,31140,10,100
"E-Solutions, Inc.",2022-04-30,18,511,31129,0,31129,18,100
Inter-American Development Bank,2020-07-04,10,347,31044,0,31044,10,100
"Noah Consulting, LLC",2016-06-30,12,186.93,31014.89,0,31014.89,8,100
"iTech US, Inc",2018-02-28,20,640,31008,0,31008,20,100
Inter-American Development Bank,2016-03-31,10,208,31000,0,31000,10,100
Inter-American Development Bank,2019-04-30,10,350,30972,0,30972,10,100
Inter-American Development Bank,2020-05-02,11,346,30952,0,30952,11,100
M3bi LLC,2021-10-31,15,496,30936,0,30936,15,100
Infosys Limited,2020-02-29,2,160,30919.11,0,30919.11,1,100
Tekis Hub,2015-10-31,20,206,30889.66,0,30889.66,8,100
"iTech US, Inc",2020-08-31,20,560,30744,0,30744,20,100
"E-Solutions, Inc.",2022-05-31,15,504,30744,0,30744,15,100
Infosys Limited,2021-12-31,2,168,30713.51,0,30713.51,1,100
